"Date","Price","Open","High","Low","Vol.","Change %"
"04/02/2013","97.50","97.21","97.74","96.22","94.82K","0.12%"
"04/01/2013","97.38","97.52","98.06","96.21","87.11K","-0.11%"
"03/28/2013","97.49","96.89","97.60","96.53","56.74K","0.67%"
"03/27/2013","96.84","96.44","97.08","95.85","72.74K","0.24%"
"03/26/2013","96.61","94.98","96.71","94.97","66.54K","1.60%"
"03/25/2013","95.09","93.98","95.87","93.95","99.24K","1.20%"
"03/22/2013","93.96","92.68","94.15","92.64","71.45K","1.28%"
"03/21/2013","92.77","93.60","93.74","92.15","70.22K","-0.78%"
"03/20/2013","93.50","92.42","93.60","92.42","226.79K","1.06%"
"03/19/2013","92.52","94.22","94.47","92.36","286.83K","-1.69%"
"03/18/2013","94.11","93.62","94.32","92.14","158.20K","0.31%"
"03/15/2013","93.82","93.39","94.20","93.36","107.53K","0.47%"
"03/14/2013","93.38","92.84","93.59","92.37","91.49K","0.54%"
"03/13/2013","92.88","92.97","93.78","92.27","123.16K","-0.04%"
"03/12/2013","92.92","92.46","93.90","92.05","142.47K","0.43%"
"03/11/2013","92.52","92.32","92.62","91.36","79.86K","0.10%"
"03/08/2013","92.43","91.89","92.50","91.30","89.65K","0.43%"
"03/07/2013","92.03","90.88","92.19","90.70","109.54K","1.24%"
"03/06/2013","90.90","91.23","91.60","90.04","93.99K","-0.42%"
"03/05/2013","91.28","90.72","91.44","90.49","63.01K","0.77%"
"03/04/2013","90.58","91.26","91.34","89.78","78.21K","-0.61%"
"03/01/2013","91.14","92.28","92.37","90.50","73.85K","-1.43%"
"02/28/2013","92.46","93.30","93.56","91.98","61.33K","-0.74%"
"02/27/2013","93.15","93.14","93.75","92.61","48.20K","0.11%"
"02/26/2013","93.05","92.55","93.84","92.45","46.19K","-0.51%"
"02/25/2013","93.53","93.70","94.90","92.51","57.58K","-0.04%"
"02/22/2013","93.57","93.53","93.91","92.88","45.71K","0.32%"
"02/21/2013","93.27","95.25","95.33","93.12","80.39K","-2.05%"
"02/20/2013","95.22","97.10","97.49","94.21","338.97K","-1.94%"
"02/19/2013","97.10","96.39","97.18","95.74","232.70K","0.72%"
"02/15/2013","96.41","97.88","98.06","95.77","178.39K","-1.52%"
"02/14/2013","97.90","97.79","98.28","97.36","96.71K","0.31%"
"02/13/2013","97.60","98.13","98.65","97.19","140.88K","-0.48%"
"02/12/2013","98.07","97.48","98.32","97.21","133.68K","0.50%"
"02/11/2013","97.58","96.31","97.63","95.50","154.68K","1.36%"
"02/08/2013","96.27","96.44","97.07","95.80","111.20K","-0.08%"
"02/07/2013","96.35","97.32","97.68","96.05","127.59K","-0.76%"
"02/06/2013","97.09","97.09","97.46","95.50","103.29K","-0.02%"
"02/05/2013","97.11","96.57","97.55","96.39","77.69K","0.47%"
"02/04/2013","96.66","98.21","98.21","96.37","50.26K","-1.61%"
"02/01/2013","98.24","97.88","98.60","97.00","92.70K","0.29%"
"01/31/2013","97.96","98.40","98.47","97.31","90.81K","-0.43%"
"01/30/2013","98.38","97.77","98.66","97.77","56.17K","0.40%"
"01/29/2013","97.99","96.85","98.24","96.74","66.13K","1.16%"
"01/28/2013","96.87","96.47","97.25","95.94","42.14K","0.56%"
"01/25/2013","96.33","96.39","97.07","95.94","53.55K","-0.12%"
"01/24/2013","96.45","95.89","97.16","95.60","79.68K","0.73%"
"01/23/2013","95.75","97.12","97.28","95.44","189.40K","-0.96%"
"01/22/2013","96.68","95.71","96.89","95.47","236.39K","0.67%"
"01/18/2013","96.04","95.65","96.13","95.36","210.13K","0.10%"
"01/17/2013","95.94","94.63","96.50","94.26","164.88K","1.33%"
"01/16/2013","94.68","93.87","94.80","93.55","163.65K","1.02%"
"01/15/2013","93.72","94.71","94.89","93.65","124.73K","-0.92%"
"01/14/2013","94.59","94.23","94.73","93.40","110.11K","0.64%"
"01/11/2013","93.99","94.29","94.53","93.06","129.09K","-0.30%"
"01/10/2013","94.27","93.60","95.16","93.53","118.76K","0.76%"
"01/09/2013","93.56","93.61","94.07","93.13","76.05K","-0.04%"
"01/08/2013","93.60","93.76","94.25","93.13","76.99K","-0.03%"
"01/07/2013","93.63","93.70","93.77","92.86","60.75K","0.13%"
"01/04/2013","93.51","93.26","93.60","91.96","73.75K","0.18%"
"01/03/2013","93.34","93.29","93.71","92.93","72.82K","-0.22%"
"01/02/2013","93.55","92.19","94.31","92.03","62.50K","1.39%"
"12/31/2012","92.27","90.91","92.40","90.49","36.58K","1.06%"
"12/28/2012","91.30","91.61","91.97","90.82","32.17K","-0.08%"
"12/27/2012","91.37","91.47","91.92","90.55","44.22K","-0.13%"
"12/26/2012","91.49","89.18","91.82","89.18","40.73K","2.60%"
"12/24/2012","89.17","89.23","89.35","88.78","8.17K","-0.07%"
"12/21/2012","89.23","90.57","90.60","88.53","46.64K","-1.61%"
"12/20/2012","90.69","90.20","91.06","89.78","51.87K","0.79%"
"12/19/2012","89.98","88.39","90.33","88.26","233.08K","1.79%"
"12/18/2012","88.40","87.94","88.63","87.68","193.20K","0.83%"
"12/17/2012","87.67","87.26","88.19","87.00","149.48K","0.48%"
"12/14/2012","87.25","86.65","87.48","86.61","147.78K","0.94%"
"12/13/2012","86.44","87.35","87.48","86.36","117.29K","-1.00%"
"12/12/2012","87.31","86.24","88.20","86.21","140.66K","1.15%"
"12/11/2012","86.32","86.27","86.88","85.76","97.17K","0.26%"
"12/10/2012","86.10","86.67","87.32","85.88","90.08K","-0.46%"
"12/07/2012","86.50","86.95","87.48","86.35","89.95K","-0.40%"
"12/06/2012","86.85","88.43","88.80","86.28","70.55K","-1.83%"
"12/05/2012","88.47","89.03","89.63","88.05","55.37K","-0.68%"
"12/04/2012","89.08","89.51","89.76","88.17","40.16K","-0.68%"
"12/03/2012","89.69","89.45","90.90","89.24","58.46K","0.22%"
"11/30/2012","89.49","88.30","89.59","88.09","63.26K","0.94%"
"11/29/2012","88.66","87.20","89.28","87.20","66.17K","1.76%"
"11/28/2012","87.13","87.94","87.96","86.01","53.68K","-0.77%"
"11/27/2012","87.81","88.33","88.87","87.46","39.11K","-0.63%"
"11/26/2012","88.37","88.82","88.91","87.90","29.66K","-0.60%"
"11/23/2012","88.90","88.29","89.14","87.40","14.21K","1.05%"
"11/21/2012","87.98","87.95","88.51","87.00","55.47K","0.72%"
"11/20/2012","87.35","89.60","89.71","86.73","78.21K","-2.73%"
"11/19/2012","89.80","87.93","90.31","87.71","51.25K","3.31%"
"11/16/2012","86.92","85.80","87.39","85.41","271.21K","1.22%"
"11/15/2012","85.87","86.77","87.25","85.10","275.99K","-1.01%"
"11/14/2012","86.75","85.81","87.06","85.39","195.10K","1.06%"
"11/13/2012","85.84","86.13","86.44","85.10","211.61K","-0.27%"
"11/12/2012","86.07","86.61","87.02","85.78","116.28K","-0.55%"
"11/09/2012","86.55","85.45","87.24","84.61","103.03K","1.16%"
"11/08/2012","85.56","84.85","86.18","84.72","100.30K","0.77%"
"11/07/2012","84.91","88.76","89.26","84.53","103.20K","-4.78%"
"11/06/2012","89.17","86.20","89.67","85.92","83.20K","3.52%"
"11/05/2012","86.14","85.22","86.38","84.87","80.60K","0.87%"
"11/02/2012","85.40","87.42","87.71","85.20","107.29K","-2.48%"
"11/01/2012","87.57","86.57","87.85","86.40","68.83K","0.97%"
"10/31/2012","86.73","86.23","87.68","86.16","63.98K","0.63%"
"10/30/2012","86.19","85.77","86.73","85.60","39.59K","0.16%"
"10/29/2012","86.05","86.88","86.92","85.18","48.48K","-0.86%"
"10/26/2012","86.80","86.52","86.87","85.52","50.89K","0.23%"
"10/25/2012","86.60","86.22","87.29","85.79","55.48K","0.36%"
"10/24/2012","86.29","87.14","88.01","85.55","72.16K","-1.08%"
"10/23/2012","87.23","89.60","89.80","86.28","65.65K","-1.60%"
"10/22/2012","88.65","90.05","91.27","88.57","275.72K","-1.98%"
"10/19/2012","90.44","92.48","93.49","90.19","329.81K","-2.26%"
"10/18/2012","92.53","92.48","92.99","91.12","175.86K","-0.06%"
"10/17/2012","92.59","92.52","93.27","91.99","158.43K","0.05%"
"10/16/2012","92.54","92.32","92.79","91.82","143.61K","0.24%"
"10/15/2012","92.32","91.99","92.62","90.27","144.32K","0.04%"
"10/12/2012","92.28","92.84","93.06","91.58","81.78K","-0.24%"
"10/11/2012","92.50","91.58","93.33","91.50","156.25K","0.94%"
"10/10/2012","91.64","92.60","94.02","91.42","131.74K","-1.23%"
"10/09/2012","92.78","90.02","93.30","89.69","138.67K","3.40%"
"10/08/2012","89.73","90.26","90.26","88.61","89.84K","-0.60%"
"10/05/2012","90.27","91.86","92.05","89.38","110.58K","-1.96%"
"10/04/2012","92.07","88.40","92.19","88.29","99.90K","4.01%"
"10/03/2012","88.52","92.00","92.18","88.09","112.98K","-4.06%"
"10/02/2012","92.27","92.85","93.30","91.99","74.61K","-0.62%"
"10/01/2012","92.85","92.56","93.68","91.65","76.68K","0.31%"
"09/28/2012","92.56","92.70","93.06","91.78","67.22K","0.38%"
"09/27/2012","92.21","90.58","92.75","90.27","84.60K","2.07%"
"09/26/2012","90.34","91.20","91.65","89.30","99.90K","-1.49%"
"09/25/2012","91.71","92.36","93.51","90.90","62.67K","-0.59%"
"09/24/2012","92.25","93.31","93.31","91.38","50.01K","-1.03%"
"09/21/2012","93.21","93.26","94.15","92.90","60.26K","0.85%"
"09/20/2012","92.42","92.07","93.09","90.96","244.55K","0.13%"
"09/19/2012","92.30","95.83","96.50","91.55","378.44K","-3.47%"
"09/18/2012","95.62","96.98","97.55","95.42","175.92K","-1.37%"
"09/17/2012","96.95","99.50","99.81","94.98","171.49K","-2.40%"
"09/14/2012","99.33","98.29","100.73","98.29","141.04K","0.71%"
"09/13/2012","98.63","97.24","98.89","96.82","118.21K","1.33%"
"09/12/2012","97.34","97.27","98.38","96.69","71.11K","-0.16%"
"09/11/2012","97.50","96.62","97.63","96.43","93.03K","0.64%"
"09/10/2012","96.88","96.66","96.97","95.69","85.44K","0.13%"
"09/07/2012","96.75","95.03","97.05","94.41","68.97K","0.94%"
"09/06/2012","95.85","96.31","98.00","94.92","86.20K","0.17%"
"09/05/2012","95.69","95.89","96.33","94.60","68.46K","0.05%"
"09/04/2012","95.64","96.68","97.67","95.31","73.51K","-1.16%"
"08/31/2012","96.76","95.02","97.21","94.86","61.65K","1.90%"
"08/30/2012","94.96","95.60","95.90","94.28","46.12K","-0.89%"
"08/29/2012","95.81","96.39","96.67","95.08","29.47K","-0.85%"
"08/28/2012","96.63","95.97","96.83","95.49","37.27K","0.88%"
"08/27/2012","95.79","96.90","97.98","94.73","60.89K","-0.68%"
"08/24/2012","96.45","96.40","97.49","95.75","39.89K","-0.16%"
"08/23/2012","96.60","97.50","98.60","96.09","50.02K","-0.97%"
"08/22/2012","97.55","97.10","97.82","96.59","40.59K","0.73%"
"08/21/2012","96.84","96.20","97.85","96.06","220.19K","0.60%"
"08/20/2012","96.26","96.64","96.83","95.32","203.18K","-0.06%"
"08/17/2012","96.32","95.55","96.58","95.26","131.98K","0.45%"
"08/16/2012","95.89","94.56","96.04","94.21","99.28K","1.34%"
"08/15/2012","94.62","93.56","95.21","93.00","148.22K","0.94%"
"08/14/2012","93.74","93.03","94.23","92.86","80.08K","0.76%"
"08/13/2012","93.03","93.60","94.41","92.34","94.57K","-0.13%"
"08/10/2012","93.15","93.75","94.11","91.97","80.53K","-0.51%"
"08/09/2012","93.63","93.74","94.47","93.36","101.61K","0.00%"
"08/08/2012","93.63","93.70","94.97","93.10","88.71K","-0.33%"
"08/07/2012","93.94","92.28","94.68","92.06","113.87K","1.60%"
"08/06/2012","92.46","91.62","92.59","90.89","70.66K","0.89%"
"08/03/2012","91.64","87.58","91.98","87.58","84.29K","4.84%"
"08/02/2012","87.41","89.15","89.90","87.20","72.17K","-1.97%"
"08/01/2012","89.17","88.26","89.72","87.77","77.06K","0.94%"
"07/31/2012","88.34","89.95","90.56","87.60","62.37K","-1.91%"
"07/30/2012","90.06","90.41","91.09","89.61","72.38K","-0.40%"
"07/27/2012","90.42","89.58","90.73","89.41","44.55K","0.84%"
"07/26/2012","89.67","89.31","90.76","88.36","35.53K","0.47%"
"07/25/2012","89.25","88.40","89.64","87.14","53.77K","0.53%"
"07/24/2012","88.78","88.18","89.37","87.71","54.18K","0.40%"
"07/23/2012","88.43","91.65","91.91","88.20","35.11K","-3.70%"
"07/20/2012","91.83","92.59","92.63","90.92","249.17K","-1.23%"
"07/19/2012","92.97","90.35","93.25","90.16","288.80K","3.11%"
"07/18/2012","90.17","89.49","90.36","88.91","152.54K","0.70%"
"07/17/2012","89.54","88.75","89.80","87.79","149.33K","0.82%"
"07/16/2012","88.81","87.52","88.87","86.81","112.13K","1.50%"
"07/13/2012","87.50","86.33","88.00","85.95","112.04K","1.20%"
"07/12/2012","86.46","86.44","86.73","84.60","90.51K","0.31%"
"07/11/2012","86.19","84.19","86.87","84.19","73.62K","2.24%"
"07/10/2012","84.30","86.13","86.30","84.05","74.83K","-2.40%"
"07/09/2012","86.37","84.58","86.84","84.51","82.18K","1.82%"
"07/06/2012","84.83","87.00","87.43","84.40","74.35K","-3.13%"
"07/05/2012","87.57","88.07","89.33","86.87","94.36K","-0.52%"
"07/03/2012","88.03","84.05","88.42","83.75","87.07K","4.61%"
"07/02/2012","84.15","85.18","85.42","82.50","81.45K","-1.43%"
"06/29/2012","85.37","78.91","85.74","78.69","103.19K","9.31%"
"06/28/2012","78.10","80.90","81.22","77.70","61.78K","-3.11%"
"06/27/2012","80.61","79.89","81.27","79.09","53.66K","1.05%"
"06/26/2012","79.77","79.51","80.06","78.77","51.97K","0.19%"
"06/25/2012","79.62","80.47","81.03","78.42","54.03K","-0.65%"
"06/22/2012","80.14","78.37","80.73","77.92","50.44K","2.01%"
"06/21/2012","78.56","81.57","81.61","78.28","79.14K","-3.55%"
"06/20/2012","81.45","84.36","84.72","80.86","413.79K","-3.44%"
